essay_id,topic,text,label
11,Learner Corpus (Non-Native),"Plastics break down into smaller particles within the soil, thereby impeding plant growth. Furthermore, owing to their non-biodegradable nature, plastic wastes are often burned for disposal. However, the chemical constituents of plastic bags lead to the release of toxic chemicals into the soil, rendering it less fertile for agricultural purposes.

In summary, rapid population growth continues, which consequently escalates the",non-native
12,Learner Corpus (Non-Native),"There are numerous advantages and disadvantages associated with the use of plastic bags. Among these are the following:

Firstly, a major advantage of plastic bags is their capacity to provide a secure means for transporting necessary items. A primary justification for employing plastics in bottles for water and other beverages, for example, is their ability to ensure product safety. This characteristic is crucial for facilitating the delivery of potable water to vulnerable populations globally.

Secondly, plastics occupy less space in landfills. Although plastic materials require a significant amount of time to decompose, the volumetric space they occupy in waste disposal areas is minimal compared to other materials. For instance, paper products can take up to seven times more volume.

Thirdly, some plastics possess a long lifespan, which encourages their reuse. Plastics need not be considered single-use products or treated as disposable waste.",non-native
13,Learner Corpus (Non-Native),"Many forms of this material possess a long lifespan, frequently exceeding or equaling that of other materials. Despite the numerous advantages associated with plastic bags, they also present significant disadvantages, which necessitate their prohibition. Key among these disadvantages are:

Firstly, plastic pollution significantly harms marine environments. Ecowatch estimates that approximately 10 metric tons of plastic products, including grocery bags, are discharged into the ocean daily. Chemicals leaching from these bags contaminate the ocean, are ingested by marine animals, and can subsequently be transferred to humans through the food chain.

Secondly, plastic products exhibit extremely slow decomposition rates. Compared to organic materials, plastics degrade at a significantly slower pace; for instance, common plastic bags require approximately ten years to decompose naturally.

Finally, the recyclability of plastic products is inherently limited. Unlike metals, which can be recycled numerous times into a variety of products due to their inherent material properties, plastics often degrade in quality with each recycling cycle, thereby limiting their potential for infinite reuse.",non-native
14,Learner Corpus (Non-Native),"Plastic, however, does not offer the same opportunities for reuse. It can only be reused a limited number of times before its quality degrades. Consequently, this often leads to downcycling or disposal in landfills. Overall, plastic bags cause more harm than good to humanity, necessitating their prohibition. It is imperative to preserve our environment to promote a high quality of life, which can be achieved by avoiding the",non-native
15,Learner Corpus (Non-Native),"Beyond their primary benefits to humanity, plastic bags also pose significant problems for both humans and the environment. Consequently, there are compelling reasons to advocate for a ban on plastic bags. Presently, plastic bags are ubiquitous. This is primarily because they do not truly decompose; instead, they merely break down into smaller fragments, often found in water bodies. They also obstruct street drains in many urban areas and litter national parks and residential areas, causing widespread environmental and aesthetic issues. Moreover, plastic bags are a major product of the petrochemical industry. This process involves the transformation of fossil fuels, extracted from shale and other geological formations, into resin pellets. These pellets are then used to manufacture an increasing volume of plastics, which are often designed for single use and subsequently discarded.",non-native
16,Learner Corpus (Non-Native),"Perforation contaminates water, soil, and air with toxins. Moreover, it generates underground activities that can collapse into sinkholes and elevates pressure within rock formations, leading to their destabilization and potentially triggering earthquakes. These consequences pose significant threats to both human populations and the natural environment. Furthermore, plastic bags have become a significant factor in human fatalities. The detrimental effects of plastic bags on wildlife,",non-native
17,Learner Corpus (Non-Native),"Factories that manufacture new products from plastics are often configured to process only specific resin types; furthermore, even resins designated with the same numerical code cannot always be co-recycled. Moreover, plastic bags, particularly used polyethylene bags, are frequently discarded in the environment, where they can obstruct drainage systems and create stagnant water, thereby providing breeding grounds for mosquitoes. They also become embedded in the soil,",non-native
18,Learner Corpus (Non-Native),"While plastics offer considerable utility in various applications such as packaging, storage, and containment, their environmental persistence poses a significant challenge. As a substance, plastic remains in the environment for hundreds of years, leading to immense pollution. This longevity hinders plant growth, contributes to the demise of living organisms, and exacerbates natural disasters like flooding. Therefore, a ban on plastic bags could be instrumental in safeguarding our planet",non-native
19,Learner Corpus (Non-Native),"Moreover, plastic bags significantly impede plant growth. Numerous plants that once thrived naturally are now perishing due to the pervasive presence of plastic bags in the soil. Consequently, organisms such as mushrooms and snails are no longer prevalent in these areas. Furthermore, plastic contamination tends to destroy beneficial soil-dwelling organisms, including worms, ants, and other insects, which are crucial for soil enrichment. Their demise subsequently",non-native
20,Learner Corpus (Non-Native),"In conclusion, the environmental impact of plastic bags is profound, encompassing pollution, disposal challenges, harm to living organisms, and contributions to natural disasters such as flooding. Consequently, their prohibition is advocated. Public education initiatives are crucial for raising awareness about the detrimental effects of plastic bags within communities. Individuals must also consistently reinforce their understanding of these harmful effects, thereby fostering a gradual transition towards habitual avoidance of plastic bags",non-native
21,Learner Corpus (Non-Native),"Therefore, if the government decides to implement a ban on plastic bags, a significant controversy is highly probable. This essay will discuss the reasons why plastic bags should be prohibited. Plastic bags ought to be banned due to their detrimental effects on individual and societal health. During their production, toxic materials and chemicals are released into the atmosphere, contributing to airborne diseases. Furthermore, plastic bags pose a risk of choking and suffocation, particularly among children, potentially resulting in fatalities. Owing to their flexibility and thinness, they are easily torn, and even small fragments, if ingested, can become lodged in the throat or digestive tract, leading to serious health complications. Consequently, the widespread availability of plastic bags constitutes a significant health hazard to humanity and society.",non-native
22,Learner Corpus (Non-Native),"Also, plastic bags need to be banned because they are a major source of waste in our society. Plastic bags form approximately forty five percent of our total plastic waste, and has proven to be one major cause of littering in our society. This causes environmental pollution and can lead to the occurrence of natural disasters such as floods, since plastic bags are light weighted and are easily carried away by the wind into our gutters and sewage channels, choking them and preventing smooth flow of water. Another reason why plastic bags should be banned is because of its negative effects on the lives of marine and land animals. Most animals dwelling in the sea and other waterbodies are being endangered due to the presence of plastic bags in their habitats. These animals consume plastic bags that sink to the bottom of the sea, thinking they are food. turtles, crocodiles and fishes are victims of these situations.",non-native
23,Learner Corpus (Non-Native),"Although plastic bags are harmful, they have benefits such as easy packaging and transportation of goods. Plastic bags should still be banned because they put the lives of these animals in danger. In conclusion, plastic bags should be banned because they are harmful to the health of man and society, they are a major source of waste, and they also put the lives of animals in danger. Plastic bags must be banned to prevent all these problems, and even if they are still in use, they should be properly disposed of to help create a cleaner and safer society. UGCD-8 As much as there are many countries that have banned the use of plastic bags, many organisations are against this idea because is very durable. But the question is because of it durability do we sit back and watch as we suffer it consequences certainly not. In this country , our major problem with plastic bags is how it is disposed.",non-native
24,Learner Corpus (Non-Native),"With all the effort put in place to solve this problem has been in vain due to the high level of illiteracy. In our criminal offence Act, it is an offence to throw rubbish on the street. Section 296 clearly states that whosoever goes against this should be asked to pay a fine not exceeding two hundred thousand cedis irrespective of the place or town it happened. These are some reasons why plastic bags should be banned; to save the soil and the environment we live in ,plastic bags are harmful to terrestrial and aquatic lives, prevent run off water from draining and also causes illness to humans. In order to save the soil and environmental plastic bags should be banned. Plastic takes about 500 years in the soil before it decomposes. It therefore makes the soil less fertile since it slowly releases harmful and poisonous substances into the environment.",non-native
25,Learner Corpus (Non-Native),"When they are burnt they kill the microorganisms in the soil that play a role in decomposing organic matter , recycling nutrients and fertilising the soil for the development of healthy soil structure. Plastic bags are harmful to terrestrial and aquatic lives hence it should be banned. Terrestrial animals like goat, cow and sheep’s during feeding pick up plastic bags plastic bags take a long time to decompose they become harmful to these lives once they enter the digestive system of these terrestrial lives. The plastic bags also makes the animals feel full and starve to death. These animals suffer intestinal obstruction with leads to a slow and painful death. Plastic bags found along the shores has reduced turtle production hence should be banned. Another reason why plastic bags should be banned is that it prevents run off water from draining .When this happen, during a heavy rainfall the water cannot flow as it should because plastic bags get chocked at a place stops water from flowing.",non-native
26,Learner Corpus (Non-Native),"This has been the cause of numerous floods cases in the country. Many people lose their properties to flood and other lose their lives. Again, plastic bags should be banned because it is the cause of illness to humans . When hot foods are served in plastic bags toxics are released into the food which cause illness. Also when waste plastic bags trap sewers during rains the environment becomes polluted which leads to the spread of various diseases like cholera and diarrhoea. When plastic bags are banned gradually we will become use to not using it and sort for other alternative like the cloth bag this would help protect our environment. UGCD-9 In Ghana and other parts of the world, plastic is a very common and widely used material. Over 80% of the world’s population uses plastics as part of their daily living and activities they engage themselves in. Plastics can be described as organic materials, plastics is the term commonly used to describe a wide range of synthetic or semi synthetic materials that are used in a huge and growing range of application.",non-native
27,Learner Corpus (Non-Native),"But in every situation we have the negative and positive sides, and plastics also have their pros and cons on human lives and their environments as well. This write up is going to be based on the topic ‘Plastics Bags should be banned’ which I am going to discuss and also raise points for the need of public awareness and safety. First of all, there are many benefits we get from plastic bags and one of these benefits we get is that plastic bags contribute greatly to our economy. As we are all aware of the great demand of plastics in our country, Ghana and worldwide, there are companies which are established for the production of these plastic bags and because of the high demand, these companies also pay taxes to the government and even individuals who also some amount of taxes to the government indirectly by their purchasing of these bags.",non-native
28,Learner Corpus (Non-Native),"These taxes help the government to get more income in their administration of the country, as these monies are used by the government in providing social amenities such as water, electricity, and so forth, providing basic facility such as: hospitals, clinics and so forth to mention for the betterment of citizens and the country at large. Secondly, the production of plastic bags also serve as source of employment for the youth. The plastic bags industries in Ghana have employed over 50% of the youth who works and get paid as work as producers and others too as suppliers. This has really help reduce the rate of unemployment in our societies and the country as a whole. Also, though plastic bags has it importance and benefits, the same way it also has it disadvantages or bad side effects on us and our environment as large. One of the commonest disadvantage is that, it is hard to decompose.",non-native
29,Learner Corpus (Non-Native),"Plastic bags are materials which take a very longer time to decompose and does not even help in soil fertility as our country as our country is best known for agriculture activities. Growing of crops becomes difficult when the soil is not fertile and more over packed with plastic bags. This may even reduce the high rate of food and crop production which may highly affect human life and even animals. Furthermore, plastic bags cause pollution in our environment. Each individuals daily activity contribute to usage of plastic bags and due to the inappropriate way of we keeping them after use, it is then discarded into our water bodies, surroundings and our gutters and pollutes them. This makes our water bodies unhealthy for aquatic lives and humans as well, it also makes our surroundings unclean and contributes greatly to the outbreak of diseases and our gutters also become chocked for the flow of water which may cause flooding.",non-native
30,Learner Corpus (Non-Native),"More often too, they not renewable. After its use we cannot replace them. In conclusion, plastic bags should be banned as its disadvantages outweigh the advantages and also cause more harm than good to human lives and our environment. UGCD-10 Plastics have become an entrenched part of our lives since their introduction in the 50s. Plastics are used for constructional purposes, manufacturing of electronic products, equipment, furniture and bags. The usage and disposal of plastic bags are a matter of great controversy with countries such as Rwanda banning the use of the plastic bags in 2008. The negative effects plastic bags outnumber the positive effects and hence should be banned. Plastic bags have an adverse effect on both terrestrial and aquatic bodies. From the United Nations (UN) environment document reposition, 1 to 5 trillion plastic bags are produced annually with less than 5% of the amount being recycled. The rest of the plastic bags produced are either dumped at landfills where they decompose or are incinerated, releasing toxic chemicals into the environment.",non-native
31,Learner Corpus (Non-Native),"Also, the light and buoyant nature of plastics makes it easy for plastic bags to end up in the ocean. In the ocean, plastic bags decompose into tiny plastics called microplastics from exposure to sunlight and air. These microplastics kill oceanic creatures that feed on them. Furthermore, plastic bags clog drains resulting in floods. As mentioned earlier on, plastic bags are light and buoyant in nature and as such easily find their way into waterways where they collect and eventually clog water paths. In 2002, Bangladesh banned plastic bags after reports had shown that the flood in July of that year was aided by plastic bags that had clogged the drains. From the UN environment report, Kibera, a large informal community in Kenya has seen a significant change in the flow of water in the drains after the ban of plastic bags in Kenya. As much as plastic bags have adverse effects on the environment, alternatives to plastic bags are not safe either.",non-native
32,Learner Corpus (Non-Native),"Research conducted by the United Kingdom environment agency in 2011 states that, ""It takes more than four times as much energy to manufacture a paper bag as it does to manufacture a plastic bag"". To produce paper bags, forest trees are felled, cut and heated under pressure at high temperatures. This process harms the environment as trees are felled and toxic chemicals that cause air pollution and water pollution are used. Plastic bags, however, are produced from the waste product of oil refining. In conclusion, it can be observed that both plastic bags and alternatives are harmful to the environment although the harm caused by plastic bags is significantly greater as such plastic bags should be banned. UGCD-11 How many plastic bags are being used around the world this very minute? It is obvious you don’t instantly know the answer but just keep the thought for a while. Plastic bag, a seemingly simple invention by the Swedish engineer Sten Gustaf Thulin in the 1960s has now become a completely ubiquitous product.",non-native
33,Learner Corpus (Non-Native),"Undoubtedly, plastic bags are used by almost every individual on the globe and have become part of our modern lives. These plastic bags provide a convenient way of carrying purchased goods. However, for each plastic bag used, our planet, human life and nature suffers a great deal of harm. This essay talks about why plastic bags should be banned. First, plastic bags are made from non-renewable sources and contribute to wastage of energy and climate change. More often than not, we are always told to save or conserve energy. This is because energy conservation is good for our environment, health and global climate. Unfortunately, anytime we accept plastic bags, we take part in wasting energy and depleting non-renewable resources. Most plastic bags are made from polythene. This substance is extracted through crude oil refining and natural gas processing. Crude oil and natural gas are fossil fuels or non-renewable energy sources whose extraction and production emit greenhouse gases into the atmosphere contributing to global climate change.",non-native
34,Learner Corpus (Non-Native),"Also, producing plastic bags is energy intensive. According to 1bagatatime.com, about 8 to 10 percent of the global oil supply is used to make plastic and “to produce nine plastic bags, it takes the equivalent energy to drive a car one kilometer”. as stated by greentumble.com. This goes a long way to show that plastic bags are greatly contributing to wastage of energy and climate change and should therefore be banned. Also, plastic bags pollute our environment. All around us, we see plastic bags lying along our roads, choked in our gutters, flying in the air, floating on water bodies and even on our beaches. Most often, plastic bags are not properly disposed and eventually find their way into the soil and water bodies. These plastic bags even though lightweight and small, end up clogging our water bodies and releasing dangerous chemicals which pollutes these water sources. Similarly, these plastic bags also release some toxins into the soil causing land degradation.",non-native
35,Learner Corpus (Non-Native),"A clear reason to ban this product. Additionally, plastic bags are very harmful to marine life and human health. The sea, originally meant for aquatic life, is now being filled with plastic bags due to its excessive usage and improper disposal by man. These floating plastic bags in the ocean resemble food to some sea creatures. As such, these sea creatures such as sea turtles and fish end up consuming these plastic bags leading to their death. The chemicals in these plastic bags are released into the bodies of these aquatic life. These dead aquatic life are in turn consumed by human beings as seafood. This contaminated food releases harmful chemicals into our bodies and affects our health. As such, the earlier we ban plastic bags, the better for us. Worst of all, these plastic bags never really break down and are difficult to recycle. Plastic bags may take up to 1,000 years or never to completely decompose into natural environment.",non-native
36,Learner Corpus (Non-Native),"In addition, most recycling facilities are not able to recycle plastic bags due to its tough nature of its components. Therefore if not banned, plastic bags will continue to cause more harm than good to us. Banning plastic bags will mean finding a similarly convenient bag to carry purchased goods. Fortunately, there are various alternatives available including jute bags, canvas or cotton bags, basket bags, string bags among others. These alternatives are reusable, convenient and safe. After almost four score years of using plastic bags, our world and our lives have been negatively affected by the use of plastic bags and there is no better time to ban it than now. Why? Well, if you care to know, this answers my very first question - There are about 10 million plastic bags being used this very minute around the world. UGCD-12 Swimming in the ocean some decades ago was refreshing and relaxing.",non-native
37,Learner Corpus (Non-Native),"Until 1979, when plastic bags were introduced, since then, swimming has become a tug of war between the swimmer and plastic bags . They are everywhere, underground in the oceans , in the gutters, and dump sites . They are made from polythene which is obtained from petroleum. These bags take a thousand years to decompose, hence they literally last forever. Given how many plastic bags are on earth and how long they take to decompose, it will never be gotten rid of unless it is banned . Some of the reasons why plastic bags should be banned is that they prevent plants from growing, they choke gutters and they are toxic for aquatic life. To begin, plants germinating will not be able to germinate when they end up under plastic bags underground. If they grow under these plastic bags that get buried underground, their growth is stunted or halted all together.",non-native
38,Learner Corpus (Non-Native),"They slowly block sunshine from getting to the seed and entangle the germinated ones . Due to how long the plastic bags take to decompose, unfortunate seeds that end up beneath them never germinate . Secondly, plastic bags that end up in gutters choke it and prevent the contents from flowing freely to their designated destinations. The plastic bags that people litter around mostly end up in gutters that rarely get cleaned ,hence they pile up and choke the gutters. Since the plastic will not decompose soon ,they choke the gutters and when it rains . The inability of the rain water to flow will cause floods. Thirdly, plastic bags that end up in water bodies become toxic for aquatic life like fishes that mistake it as food. Fishes mistake plastic bags as food , these bags when ingested are detrimental to the health of the fishes . This does not only happen to fishes, other aquatic life like turtles and octopuses also suffer a similar fate, they mostly ended up getting entangled.",non-native
39,Learner Corpus (Non-Native),"They have little chance of detangling themselves , since this predator is new to them. When unable to detangle themselves they get asphyxiated and die . To end, the banning of plastic bags should not be argued , since they prevent plants from growing, they choke gutters which in turn leads to floods and they are toxic to aquatic life . The purpose these plastic bags serve is not enough to exchange precious resources for. UGCD-13 Plastic is a type of container made of thin flexible plastic film. Plastic bags were invented to save the planet as trees were being chopped down to produce paper bags in the early years of 1959. While durable and energy-efficient in production, plastic bags deteriorate our environment, destroying the ecosystem because it causes a lot of land and water pollution, causing an untimely death of many animals, which in turn causes air pollution and poses negative impacts on human health.",non-native
40,Learner Corpus (Non-Native),"Plastic bags deteriorate our environment, destroying the ecosystem because it causes a lot of land and water pollution. Plastic bags are difficult to recycle or breakdown and usually end up on the surface of water bodies and in the soil. This causes a large mass of pollution since they are non- biodegradable hence, making it a challenge to completely dispose of. Additionally, it causes an untimely death of so many animals, which in turn causes air pollution. Larger pieces of plastic satisfy the hunger of creatures, as these plastic bags usually find their way around their food, making them eat less and very weak as a result. The plastic bags then blocks their gastrointestinal tract, making the plastic not eligible for excretion. This then causes great damage to their system and untimely death in most cases, not forgetting air pollution as the animal, especially those on land decompose. Finally, plastic bags poses a negative impact on human health.",non-native
41,Learner Corpus (Non-Native),"Though plastic bags are good for branding and promoting the businesses of humans, it causes great harm to them as well. The plastic bags when being produced release a lot of toxic chemicals such as benzene and vinyl hydrochloride into the atmosphere, which are known to causes cancer, and other chemicals which makes the soil infertile. These same plastic bags then clogs drains and sewers, especially during the rains. This causes floods, turns the flooded drains and sewers into breeding places for dangerous insects such as the female anopheles mosquitoes, which are famous for their transmission of the malaria parasites, which then develops into malaria in the system of humans through a single bite. Thus, while plastics are durable and energy-efficient in production, plastic bags should be banned. This is because, it deteriorates our environment destroying our ecosystem, causes a lot of land and water pollution, also causes an untimely death of so many animals which in turn causes air pollution, and finally poses a negative impact on the health of humans.",non-native
42,Learner Corpus (Non-Native),"Banning plastics is going to preserve the lives of both humans and animals, and make our environment free of non- biodegradable wastes. UGCD-14 In our daily life, we cannot do away with goods hence calls for the selling and buying of goods. Plastic as a substance is non-biodegradable and thus plastic bags remain in the environment for hundreds of years polluting it immensely. Many countries around the globe have either put a ban on plastic bags or Levi tax on it. This is the most common form of packaging used worldwide. However, plastic has been a source of revenue in some cases for some countries yet the problem plastic brought to bare hasn't been solved completely because the implementation of these measures hasn't been successful. There are numerous reasons the government of various countries have come up with strict measures to limit the use of plastic bags. Plastic bags have being a pollutant to land and water immensely, chemicals from plastic bags destroying soil fertility, posing danger to human life, plants and animals both on land and water.",non-native
43,Learner Corpus (Non-Native),"First and foremost, plastic has been a major cause of land and water pollution. Water bodies as well as land has been a source of survival for man and a means of transportation and shelter. However, some activities such as burning and dumping of plastic has been one of the major causes of making these waters and lands unsafe for living and interbreeding by some organisms. Marine animals mistaken plastic bags as food and when taken clogs their intestine and leads to slow starvation. Measures must be put in place to ensure the rejection of the use of plastic bags and adopt other forms of wrappers. To continue, chemicals released by plastic bags enter the soil and destroys it's fertility. Plastic bags are non-biodegradable but are rather photodegrade thus, breaking into more smaller toxic bits. As it breaks down, plastic particles contaminate the soil and enter the food web when animals ingest them.",non-native
44,Learner Corpus (Non-Native),"Most plastics are made from petroleum and natural gas which are non-renewable. Plastics on the other hand can block roots from extending to reach out for more water and nutrients for the plant. Soil fertility is of great importance and plastic bags can imorder plant growth through certain withholding factors in the soil. Plastic bags have a negative impact on human health. There have been several cases of humans finding tiny plastic particles in their faeces. This is not surprising but this is detrimental to human health. Plastic bags and their products are very harmful to human health, even though most of our food are packaged in them. This affects the health of the kidneys and disrupts the proper functioning of other organs in the body. To conclude, when plastic bags are ban, we can appreciate a steady flow of life and greater heights at all sectors of life. Fast forward, the stated consequences above would be curbed and adhered to.",non-native
45,Learner Corpus (Non-Native),"Notwithstanding the fact that plastic is a great source of revenue for some countries who could wrap their ways around it, plastic bags should be banned and replaced with new forms of packaging. UGCD-15 Plastic bags have been useful in our communities and marketplaces for decades. It has provided easy and cheaper means to handle purchased goods from the marketplaces, malls and even our restaurants. But at the same time threatens our vegetation, marine lives, birds and our environment specifically, our drainages. Plastic bags should be banned for various reasons. The reasons span between; pollution attraction; wildlife threatened; food poison; groundwater pollution; accumulated garbage; and associated cost. Although plastic bags have multi- facetted purposes, it will serve us well if they are banned and substituted for alternatives, because they coherently pose pollution to the world. These products contain chemicals such as bisphenols, and flame retardation which relatively assist in their rigidity and flexibility respectively.",non-native
46,Learner Corpus (Non-Native),"Sometimes, these oily and poisonous substances repel water but stick to petroleum base substances at prolong accumulation in the water bodies and the oceans. In fact, another reason why it is prim to ban plastic bags is to protect wildlife. Basically, I have witnessed three dogs at different instances running and screaming because a plastic debris was left hanging in their anus as they tried to defecate and the dogs were left scared and almost dead as a result. Because of hunger, some of these vulnerable wild and domestic animals fall prey to these entangled bags in our homes or forest. And in the process of food chain, animals which feed on these improperly disposed bags end up passing on to their young ones. On another scale, plastic bag banning is reasonable because it causes food poisoning. When aquatic animals in their habitats ignorantly feed on these trapped plastic bags containing harmful chemicals that are not biodegradable, they also transfer to other living organisms such as humans that depend on them for food.",non-native
47,Learner Corpus (Non-Native),"It also gets trapped in the digestive tract of the fishes that mistaken them for food. But the highly vulnerable ones lose their lives and the surviving ones transfer whatever they carry. Over centuries, all living creatures have depended on water for survival. It will interest you to know how these bags have had a negative impact on the groundwater we use as a universal solvent (mineral water). When rain water and other water sources become contaminated by these bags, they wash down and sip to affect ground water. If this useful but harmful product is not banned, we as a third world country with little income will be impeded by a water contaminated pandemic. Finally, the cost of plastic waste management is substantial and detrimental to economic growth and our national coffers. So, the ban of plastic bag will be beneficial in spite of the loss of jobs and income to some people in the country and the world.",non-native
48,Learner Corpus (Non-Native),"The reasons raised so far expose the negative effects posed by the bags, so we go for banning else we will one day be engulfed by the rubber plastic pandemic. Nobody in the world want to see another pandemic again. UGCD-16 In recent times, the rate at which the land, water bodies and the environment as a whole gets polluted is very alarming and there is no doubt that plastic bags constitute a greater part of these pollutants. Plastic bags are containers that have been made in order to help with the transportation and packing of purchased goods. These plastic bags are very cheap and are widely used across the country. They form part of our day to day life and give nice packages to our purchased goods. Although plastic bags have advantages, their disadvantages cannot be overlooked. To begin, plastic bags helps humans in their trading activities. Due to the light weight of plastic bags, they are easily transported and distributed.",non-native
49,Learner Corpus (Non-Native),"Also, the low cost of these plastic bags have increased the rate at which they are being purchased. This is due to the fact that very few materials are needed in producing these plastic bags. The durability of these plastic bags have made it possible for them to be used over and over used again. To crown it all, due to its ability to resist water, they protect and keep your things safe for a long period of time. Nonetheless, plastic bags pose a threat to the humans and environment as a whole. When these plastic bags are not properly disposed, they destroy the environment. Plastic bags thrown in drainage systems choke them and make them breeding places for mosquitoes. When it rains heavily, the choked gutters overflow their boundaries and cause flooding which in turn destroy lives and property. Plastic bags which successfully swim into through the drainage systems flow into the sea where they are mistaken for foods by aquatic animals.",non-native
